component,file,used_on,role,visual_dependencies,current_tokens,responsive_behavior,accessibility_notes,brand_gap,classification,6d_target_phase,notes
ObservedVsNeed,src/components/home/ObservedVsNeed.astro,Home,comparison cards,radius-md/lg,tokens,2-col wrap,none,colors CONFLICTS,RESTYLE,6D.3_HOME_PILOT,
BrazilOverview,src/components/home/BrazilOverview.astro,Home,Brazil evidence teaser,radius-lg,tokens,stack,none,colors CONFLICTS,RESTYLE,6D.3_HOME_PILOT,
HomeMethodology,src/components/home/HomeMethodology.astro,Home,how to read,radius-lg,tokens,stack,none,colors CONFLICTS,RESTYLE,6D.3_HOME_PILOT,6C copy freeze.
HeroStatement,src/components/executive/HeroStatement.astro,Design System only,reusable hero,same as Home hero tokens,display,not on 4 public surfaces,n/a,same executive identity,RESTYLE,DEFER,Not on Home production path (Home inlines hero). Restyle when DS page updates after freeze.
GSDExplorer,src/components/clinical/GSDExplorer.tsx,Clínica,filter+search+cards,radius-md/lg inputs,tokens,controls 2-col >=48rem,labelled select/search live count,teal chrome CONFLICTS,RESTYLE,6D.4_ROLLOUT,Preserve filter semantics. Visual only.
ClinicalCards,.gsd-card in GSDExplorer.tsx,Clínica,condition cards,radius-lg,tokens,list stack,h3 names,colors CONFLICTS,RESTYLE,6D.4_ROLLOUT,
ClinicalTables,src/pages/analises/bases-clinicas/index.astro,Clínica,organ/classification tables,page-local radius-lg,tokens,overflow risk at 320,tabular,colors CONFLICTS,RESTYLE,6D.4_ROLLOUT,Do not change cell content.
ClinicalFlow,src/pages/analises/bases-clinicas/index.astro sections,Clínica,narrative sections + explorer,ResearchHeader + PageContainer,tokens,single column,headings hierarchy,identity via header/fonts,RESTYLE,6D.4_ROLLOUT,
BurdenOverview,src/components/socioeconomic/BurdenOverview.astro,Socio,burden cards,radius-lg,tokens,grid wrap,none,colors CONFLICTS,RESTYLE,6D.4_ROLLOUT,6C copy freeze.
CaregiverBurden,src/components/socioeconomic/CaregiverBurden.astro,Socio,caregiver cards,radius-lg,tokens,grid,none,colors CONFLICTS,RESTYLE,6D.4_ROLLOUT,
CostLayers,src/components/socioeconomic/CostLayers.astro,Socio,cost layer list,radius-lg,tokens,stack,none,colors CONFLICTS,RESTYLE,6D.4_ROLLOUT,
BrazilEvidencePanel,src/components/socioeconomic/BrazilEvidencePanel.astro,Socio,Brazil evidence dl,asymmetric radius,tokens,stack,dl structure (6C P0),colors CONFLICTS,RESTYLE,6D.4_ROLLOUT,Do not reopen 6C markup.
MarketSegmentMap,src/components/socioeconomic/MarketSegmentMap.astro,Socio,segment map,radius-lg,tokens,grid,none,colors CONFLICTS,RESTYLE,6D.4_ROLLOUT,
MarketSizingGuardrails,src/components/socioeconomic/MarketSizingGuardrails.astro,Socio,TAM/SAM guardrails,radius-lg,tokens,grid,none,colors CONFLICTS,RESTYLE,6D.4_ROLLOUT,
EvidenceGapBridge,src/components/socioeconomic/EvidenceGapBridge.astro,Socio,gap list,radius-lg,tokens,stack,none,colors CONFLICTS,RESTYLE,6D.4_ROLLOUT,
BurdenPathway,src/components/socioeconomic/BurdenPathway.astro,unused (not imported by socio page),pathway primitive,radius-lg,tokens,stack,n/a,colors CONFLICTS,DEFER,DEFER,FACT: file exists; grep shows no imports. Do not restyle until authorized onto a page.
StartupExplorer,src/components/startups/StartupExplorer.tsx,Observatório,search filters list drawer orchestration,child components,tokens,dense vertical,keyboard drawer,teal chrome CONFLICTS,RESTYLE,6D.4_ROLLOUT,Do not change query/filter behavior.
StartupSummary,src/components/startups/StartupSummary.tsx,Observatório,count summary,font-display,tokens,wrap,status text,display font CONFLICTS,RESTYLE,6D.4_ROLLOUT,6C copy freeze.
StartupFilters,src/components/startups/StartupFilters.tsx,Observatório,checkbox filters,radius-md,tokens,wrap,labelled checkboxes,teal CONFLICTS,RESTYLE,6D.4_ROLLOUT,Preserve labels/logic.
StartupSearch,src/components/startups/StartupSearch.tsx,Observatório,search field,radius-md,tokens,full width,labelled,teal CONFLICTS,RESTYLE,6D.4_ROLLOUT,
StartupSort,src/components/startups/StartupSort.tsx,Observatório,sort control,radius-md,tokens,wrap,labelled,teal CONFLICTS,RESTYLE,6D.4_ROLLOUT,
StartupCard,src/components/startups/StartupCard.tsx,Observatório,org row,undefined --ink-700; badges,tokens,stack,h3 + Ver detalhe button,token hole + teal badges,RESTYLE,6D.4_ROLLOUT,--ink-700 hole is a FACT; replacement value NEEDS_DECISION. Do not restyle Observatory in 6D.2.
StartupDetail,src/components/startups/StartupDetail.tsx,Observatório,drawer,elevation-2 overlay,tokens,panel overlay desktop (observatory-drawer-1440.png),dialog Fechar detalhe,teal close button CONFLICTS,RESTYLE,6D.4_ROLLOUT,Preserve fields/order from 6C. Visual only.
StartupCoverageNotice,src/components/startups/StartupCoverageNotice.tsx,Observatório,coverage caveats,undefined --ink-700,tokens,stack,none,token hole,RESTYLE,6D.4_ROLLOUT,6C A30 freeze.
ObservatoryAnalytics,src/components/startups/ObservatoryAnalytics.tsx,Observatório,VIZ charts wrapper,font-display + StartupBarChart,tokens,stack below list,headings,chart color decision,RESTYLE,6D.4_ROLLOUT,Aggregations frozen. Visual restyle after chart palette decision.
StartupBarChart,src/components/startups/StartupBarChart.tsx,Observatório analytics,horizontal bars,teal-500 bars; --ink-700 labels,teal-500 paper-100,labels wrap anywhere,figcaption + numeric values; color not sole discriminator,NEEDS_SEMANTIC_COLOR_DECISION,NEEDS_DECISION,6D.4_ROLLOUT,No visual change to Observatory during foundations or Home pilot. Do not rebrand bars to three blues. Categorical palette after contrast test.
StartupBadges,src/components/startups/StartupBadges.tsx,cards+drawer,classification chips,undefined --radius-sm; teal relation,tokens,wrap,text labels,missing radius token; teal CONFLICTS,RESTYLE,6D.4_ROLLOUT,--radius-sm hole is a FACT; value NEEDS_DECISION. Do not force Observatory restyle in 6D.2. Dual-coded with text.
StartupEmptyState,src/components/startups/StartupEmptyState.tsx,Observatório empty snapshot,empty, --ink-700,tokens,stack,status,token hole,RESTYLE,6D.4_ROLLOUT,Not in current freeze (120 orgs).
StartupNoResultsState,src/components/startups/StartupNoResultsState.tsx,Observatório filtered empty,no results,tokens,tokens,stack,status,low,RESTYLE,6D.4_ROLLOUT,
StartupEvidenceList,src/components/startups/StartupEvidenceList.tsx,drawer,sources list,tokens,tokens,stack,list,low,RESTYLE,6D.4_ROLLOUT,
EvidenceCallout,src/components/evidence/EvidenceCallout.astro,analysis pages if used,callout,radius-lg,tokens,stack,note,colors CONFLICTS,RESTYLE,6D.4_ROLLOUT,
SourceAnchor,src/components/evidence/SourceAnchor.astro,KeyMetric,source chip,asymmetric radius,tokens,inline,link,colors CONFLICTS,RESTYLE,6D.3_HOME_PILOT,
DataAbsentState,src/components/evidence/DataAbsentState.astro,where absence shown,absence pattern,hatch gradient tokens,tokens,card,role status; absence not zero,hatch is DASHBOARD_DECISION not brand,RESTYLE,6D.4_ROLLOUT,Keep hatch semantics. Recolor via tokens only.
FaviconSVG,public/favicon.svg,all pages + og:image,document icon,Astro rocket #000/#FFF,none,n/a,none,Not Einstein/Eretz lockup,REPLACE,6D.3_HOME_PILOT,BLOCKED_BY_ASSET / AUTHORIZATION. Do not replace in 6D.2.
FaviconICO,public/favicon.ico,browsers,legacy icon,unknown bitmap,none,n/a,none,Not institutional,REPLACE,6D.3_HOME_PILOT,BLOCKED_BY_ASSET / AUTHORIZATION. Do not replace in 6D.2.
UtilitiesButtons,src/styles/utilities.css .btn*,Home hero portals cards,button primitives,teal-500 cyan-300 hardcoded rgb,tokens + 2 rgb,min-height touch,focus-visible,primary identity CONFLICTS,RESTYLE,6D.3_HOME_PILOT,Home is where new button appearance must be validated. utilities.css RGB may be tokenized in 6D.2 only if visual output remains identical.
