record_id,entity_or_structure,field_name,physical_path,symbol_or_container,data_type,shape_or_cardinality,presence_rule,allowed_values_or_taxonomy,semantic_role,source_of_value,consumer,derivation_rule,validation_rule,history_behavior,publication_status,human_validation,duplicate_group,confidence,evidence_reference,notes
F025,StartupPublishedSnapshot.counts,adjacentGsd,painel-gsds/src/data/startups/published/snapshots/ecosystem-cumulative-direct-2026-08-24.json,startupPublishedCountsSchema,int,1,required,integer >=0,DERIVED,count assessments relationship===adjacent-gsd,schema only; NOT VIZ01,publishedSnapshot.ts:143,publishedSnapshot.ts:225-232,stored,PUBLISHED,NOT_OBSERVED,DUP-COUNT-ADJ,FACT,ecosystem-cumulative-direct-2026-08-24.json:27; publishedSnapshot.ts:143; aggregateObservatoryCharts.ts:56-75,82 assessments vs VIZ01 81 orgs because Saventic has two adjacent assessments.
F026,StartupPublishedSnapshot.counts,ecosystemSupport,painel-gsds/src/data/startups/published/snapshots/ecosystem-cumulative-direct-2026-08-24.json,startupPublishedCountsSchema,int,1,required,integer >=0,DERIVED,count assessments ecosystem-support,schema; VIZ01 bar also 0 in this freeze,publishedSnapshot.ts:144,publishedSnapshot.ts:225-232,stored,PUBLISHED,NOT_OBSERVED,DUP-COUNT-REL,FACT,ecosystem-cumulative-direct-2026-08-24.json:29; publishedSnapshot.ts:144,Observed 0 of a known taxonomy value; not missing category.
F027,StartupPublishedSnapshot.counts,relevanceUnconfirmed,painel-gsds/src/data/startups/published/snapshots/ecosystem-cumulative-direct-2026-08-24.json,startupPublishedCountsSchema,int,1,required,integer >=0,DERIVED,count assessments relevance-unconfirmed,schema,publishedSnapshot.ts:145,publishedSnapshot.ts:225-232,stored,PUBLISHED,NOT_OBSERVED,DUP-COUNT-REL,FACT,ecosystem-cumulative-direct-2026-08-24.json:30; publishedSnapshot.ts:145,11. Matches VIZ01 in this freeze.
F028,StartupPublishedSnapshot.counts,brazil,painel-gsds/src/data/startups/published/snapshots/ecosystem-cumulative-direct-2026-08-24.json,startupPublishedCountsSchema,int,1,required,integer >=0,DERIVED,assessments whose geographicScopes includes brazil,schema; numeric coincidence with VIZ02 brazil in this freeze,publishedSnapshot.ts:146,publishedSnapshot.ts:225-232,stored,PUBLISHED,NOT_OBSERVED,DUP-COUNT-GEO,FACT,ecosystem-cumulative-direct-2026-08-24.json:31; publishedSnapshot.ts:146,Unit=assessment flag.
F029,StartupPublishedSnapshot.counts,global,painel-gsds/src/data/startups/published/snapshots/ecosystem-cumulative-direct-2026-08-24.json,startupPublishedCountsSchema,int,1,required,integer >=0,DERIVED,assessments whose geographicScopes includes global,schema,publishedSnapshot.ts:147,publishedSnapshot.ts:225-232,stored,PUBLISHED,NOT_OBSERVED,DUP-COUNT-GEO,FACT,ecosystem-cumulative-direct-2026-08-24.json:32; publishedSnapshot.ts:147,88. Unit=assessment flag.
F030,StartupPublishedSnapshot,checksum,painel-gsds/src/data/startups/published/snapshots/ecosystem-cumulative-direct-2026-08-24.json,startupPublishedSnapshotSchema.checksum,string,1,required min 1,hex SHA-256 or reserved-not-computed,PROVENANCE|PUBLICATION_CONTROL,declared digest of canonical JSON excluding checksum,validate-startup-data.ts computeSnapshotChecksum,SHA-256 canonicalize exclude checksum validate-startup-data.ts:31-47,validate-startup-data.ts:65-72,stored in snapshot; empty uses placeholder,PUBLISHED,NOT_OBSERVED,NOT_APPLICABLE,FACT,ecosystem-cumulative-direct-2026-08-24.json:6903; validate-startup-data.ts:42-47,INDEPENDENT_DIGEST_MATCH in 7B.0; VALIDATOR_NOT_EXECUTED; PENDING npm run data:validate. Do not call PASS.
F031,StartupPublishedSnapshot,organizations,painel-gsds/src/data/startups/published/snapshots/ecosystem-cumulative-direct-2026-08-24.json,startupPublishedSnapshotSchema.organizations,PublishedOrganization[],0..*,required array; empty only if not-yet-populated,see organization fields,IDENTIFIER,published snapshot authoring,buildStartupList; page isEmpty,NOT_APPLICABLE,"publishedSnapshot.ts:56,64-89,150-157,235-239",full array replaced per snapshot file,PUBLISHED,NOT_OBSERVED,NOT_APPLICABLE,FACT,publishedSnapshot.ts:56; ecosystem-cumulative-direct-2026-08-24.json organizations array,Collection container. Element fields inventoried separately. Not RAW_DATA.
F032,StartupPublishedSnapshot,relevanceAssessments,painel-gsds/src/data/startups/published/snapshots/ecosystem-cumulative-direct-2026-08-24.json,startupPublishedSnapshotSchema.relevanceAssessments,PublishedGSDRelevanceAssessment[],0..*,required array,see assessment fields,ASSESSMENT_OR_INTERPRETATION,published snapshot authoring,queryStartups; aggregators,NOT_APPLICABLE,"publishedSnapshot.ts:58,113-148",full array replaced per snapshot file,PUBLISHED,NOT_OBSERVED,NOT_APPLICABLE,FACT,publishedSnapshot.ts:58,Not RAW_DATA.
F033,StartupPublishedSnapshot,publicSources,painel-gsds/src/data/startups/published/snapshots/ecosystem-cumulative-direct-2026-08-24.json,startupPublishedSnapshotSchema.publicSources,StartupPublicSource[],0..*,required array,see source fields,SOURCE_METADATA,published snapshot authoring (already curated),buildStartupList join,NOT_APPLICABLE,"publishedSnapshot.ts:59,92-101",5D tests inspected claim byte-equal to 5C sources; NOT_EXECUTED_IN_7B_0,PUBLISHED,NOT_OBSERVED,NOT_APPLICABLE,FACT,publishedSnapshot.ts:59; directGsd.5d.test.ts:156,"SOURCE_METADATA of published catalog, not uninterpreted crawl. Raw layer not in repo."
F034,StartupPublishedSnapshot,productsOrPrograms,painel-gsds/src/data/startups/published/snapshots/ecosystem-cumulative-direct-2026-08-24.json,startupPublishedSnapshotSchema.productsOrPrograms,PublishedProductOrProgram[],0..*,required array may be empty,see product fields,UNKNOWN,schema materialized empty collection,buildStartupList; StartupDetail empty copy,NOT_APPLICABLE,"publishedSnapshot.ts:57,160-186",empty in 5B-5D.1 observed,PUBLISHED,NOT_OBSERVED,DUP-ASSET-TEXT,FACT,ecosystem-cumulative-direct-2026-08-24.json:1860; publishedRelations.ts:63-74,Collection empty. Asset text lives on directContext.assetOrProgram. semantic_role UNKNOWN at collection level because entity not instantiated. Not RAW_DATA.
F040,PublishedOrganization,id,painel-gsds/src/schemas/startups/publishedOrganization.ts,publishedOrganizationSchema.id,string,1 per org,required,regex ^org-[a-z0-9-]+$,IDENTIFIER,published snapshot authoring; lineage maps only in tests,FK from assessments; React key; query by id,NOT_APPLICABLE,publishedOrganization.ts:11; unique publishedSnapshot.ts:66-73,observed stable across 5C-5D for indirect ids (test inspected),PUBLISHED,NOT_OBSERVED,NOT_APPLICABLE,FACT,publishedOrganization.ts:11; ecosystem-cumulative-direct-2026-08-24.json:51 org-gsd-br-002,Production loader does not call lineage functions.
F041,PublishedOrganization,slug,painel-gsds/src/schemas/startups/publishedOrganization.ts,publishedOrganizationSchema.slug,string,1,required,regex ^[a-z0-9]+(?:-[a-z0-9]+)*$,IDENTIFIER|EDITORIAL,published snapshot authoring,StartupExplorer selectedSlug; getStartupBySlug unused by page,NOT_APPLICABLE,publishedOrganization.ts:12-15 unique slugs,stored per snapshot,PUBLISHED,NOT_OBSERVED,NOT_APPLICABLE,FACT,"publishedOrganization.ts:12-15; StartupExplorer.tsx:26,41",NOT_APPLICABLE
F042,PublishedOrganization,preferredName,painel-gsds/src/schemas/startups/publishedOrganization.ts,publishedOrganizationSchema.preferredName,string,1,required min 1,free text,EDITORIAL,published snapshot authoring,card title; search; sort name-asc,NOT_APPLICABLE,publishedOrganization.ts:16,stored; rename would not change id,PUBLISHED,NOT_OBSERVED,NOT_APPLICABLE,FACT,publishedOrganization.ts:16; StartupCard.tsx:21,Nine cases wording in CURRENT_DATA_ARCHITECTURE.md §13.
F043,PublishedOrganization,aliases,painel-gsds/src/schemas/startups/publishedOrganization.ts,publishedOrganizationSchema.aliases,string[],0..*,required array may be empty,free text items,EDITORIAL,published snapshot authoring,queryStartups search haystack,NOT_APPLICABLE,publishedOrganization.ts:17,stored,PUBLISHED,NOT_OBSERVED,NOT_APPLICABLE,FACT,publishedOrganization.ts:17; queryStartups.ts:108,Observed 21 orgs with non-empty aliases; nine directs empty.
F044,PublishedOrganization,organizationType,painel-gsds/src/schemas/startups/publishedOrganization.ts,publishedOrganizationSchema.organizationType,enum string,1,required,startupOrganizationTypeValues taxonomies.ts:99-108,TAXONOMY|ASSESSMENT_OR_INTERPRETATION,published snapshot authoring,not displayed on card,NOT_APPLICABLE,publishedOrganization.ts:18,stored,PUBLISHED,NOT_OBSERVED,NOT_APPLICABLE,FACT,publishedOrganization.ts:18; taxonomies.ts:99-108,Observed 120x unconfirmed. Other enum values unused in current snapshot.
F045,PublishedOrganization,website,painel-gsds/src/schemas/startups/publishedOrganization.ts,publishedOrganizationSchema.website,string url,0..1,optional,URL,CLAIM_OR_ASSERTION,published snapshot authoring,StartupDetail website section only if present; NOT evidenceRefs,NOT_APPLICABLE,publishedOrganization.ts:19 z.string().url().optional(),omitted when empty (Cometa has no key),PUBLISHED,NOT_OBSERVED,NOT_APPLICABLE,FACT,publishedOrganization.ts:19; StartupDetail.tsx:204-213; Maze json:1609 vs rel evidence json:4639,"Published assertion of institutional URL, not uninterpreted crawl. 111/120 present. Direct websites must not become supports evidence (test inspected)."
F046,PublishedOrganization,foundedYear,painel-gsds/src/schemas/startups/publishedOrganization.ts,publishedOrganizationSchema.foundedYear,int,0..1,optional,1800-2100,CLAIM_OR_ASSERTION,published snapshot authoring,not rendered in card/detail currently,NOT_APPLICABLE,publishedOrganization.ts:20,omitted when unknown,PUBLISHED,NOT_OBSERVED,NOT_APPLICABLE,FACT,publishedOrganization.ts:20; Reneo json:1802 value 2014; Cometa field absent json:1424-1435,66/120 present. Not RAW_DATA.
F047,PublishedOrganization,headquarters,painel-gsds/src/schemas/startups/publishedOrganization.ts,publishedOrganizationSchema.headquarters,object,0..1,optional,country required if object present,CLAIM_OR_ASSERTION,published snapshot authoring,not rendered in current UI,NOT_APPLICABLE,publishedOrganization.ts:21-27,omitted when unknown,PUBLISHED,NOT_OBSERVED,NOT_APPLICABLE,FACT,publishedOrganization.ts:21-27,29/120 present. Nested fields separate rows.
F048,PublishedOrganization.headquarters,country,painel-gsds/src/schemas/startups/publishedOrganization.ts,headquarters.country,string,1 if headquarters present,required when parent present,free text; observed United States on directs sampled,CLAIM_OR_ASSERTION,published snapshot authoring,none in current UI,NOT_APPLICABLE,publishedOrganization.ts:23,with parent object,PUBLISHED,NOT_OBSERVED,NOT_APPLICABLE,FACT,publishedOrganization.ts:23; Maze json:1610-1612,NOT_APPLICABLE
F049,PublishedOrganization.headquarters,region,painel-gsds/src/schemas/startups/publishedOrganization.ts,headquarters.region,string,0..1,optional,free text,CLAIM_OR_ASSERTION,schema only in current freeze,none,NOT_APPLICABLE,publishedOrganization.ts:24,NOT_OBSERVED,PUBLISHED,NOT_OBSERVED,NOT_APPLICABLE,FACT,publishedOrganization.ts:24,NOT_OBSERVED in current snapshot (no region keys).
F050,PublishedOrganization.headquarters,city,painel-gsds/src/schemas/startups/publishedOrganization.ts,headquarters.city,string,0..1,optional,free text,CLAIM_OR_ASSERTION,schema only in current freeze,none,NOT_APPLICABLE,publishedOrganization.ts:25,NOT_OBSERVED,PUBLISHED,NOT_OBSERVED,NOT_APPLICABLE,FACT,publishedOrganization.ts:25,NOT_OBSERVED in current snapshot (no city keys).
F051,PublishedOrganization,operationalStatus,painel-gsds/src/schemas/startups/publishedOrganization.ts,publishedOrganizationSchema.operationalStatus,enum string,1,required,startupOperationalStatusValues taxonomies.ts:123-134,TAXONOMY|ASSESSMENT_OR_INTERPRETATION,published snapshot authoring,StatusBadge on card/detail; filter operationalStatuses; NOT VIZ04,NOT_APPLICABLE,publishedOrganization.ts:28,stored per snapshot,PUBLISHED,NOT_OBSERVED,DUP-STATUS-CORP,FACT,publishedOrganization.ts:28; taxonomies.ts:123-134; StartupCard.tsx:22; aggregateObservatoryCharts.ts:139,MUST remain distinct from directContext.organizationStatus. Indirects 92x apparently-active; directs use private|public|acquired-or-inactive|identity-unresolved.
F052,PublishedOrganization,description,painel-gsds/src/schemas/startups/publishedOrganization.ts,publishedOrganizationSchema.description,string,1,required min 1,free text,EDITORIAL|CLAIM_OR_ASSERTION,published snapshot authoring,card body; search; detail,NOT_APPLICABLE,publishedOrganization.ts:29,stored,PUBLISHED,NOT_OBSERVED,DUP-ASSET-TEXT,FACT,publishedOrganization.ts:29; StartupCard.tsx:24; Kriya json:1814,Directs often concatenate indication emdash asset emdash modality. Preserve wording. Not RAW_DATA.
F053,PublishedOrganization,sector,painel-gsds/src/schemas/startups/publishedOrganization.ts,publishedOrganizationSchema.sector,string,0..1,optional,free text,UNKNOWN,schema only,none,NOT_APPLICABLE,publishedOrganization.ts:30,NOT_OBSERVED,PUBLISHED,NOT_OBSERVED,NOT_APPLICABLE,FACT,publishedOrganization.ts:30,NOT_OBSERVED in current snapshot (0/120).
F054,PublishedOrganization,industry,painel-gsds/src/schemas/startups/publishedOrganization.ts,publishedOrganizationSchema.industry,string,0..1,optional,free text,UNKNOWN,schema only,none,NOT_APPLICABLE,publishedOrganization.ts:31,NOT_OBSERVED,PUBLISHED,NOT_OBSERVED,NOT_APPLICABLE,FACT,publishedOrganization.ts:31,NOT_OBSERVED in current snapshot (0/120).
F055,PublishedOrganization,businessModels,painel-gsds/src/schemas/startups/publishedOrganization.ts,publishedOrganizationSchema.businessModels,string[],0..*,required array may be empty,free text items,UNKNOWN,published snapshot authoring as empty arrays,none,NOT_APPLICABLE,publishedOrganization.ts:32,stored empty,PUBLISHED,NOT_OBSERVED,NOT_APPLICABLE,FACT,publishedOrganization.ts:32; Cometa json:1431,"Observed 120x empty array. Field present, values unused."
F056,PublishedOrganization,firstDiscoveredAt,painel-gsds/src/schemas/startups/publishedOrganization.ts,publishedOrganizationSchema.firstDiscoveredAt,string date,1,required YYYY-MM-DD,ISO date,PROVENANCE,published snapshot authoring,not displayed,NOT_APPLICABLE,publishedOrganization.ts:33,stored; not a validFrom,PUBLISHED,NOT_OBSERVED,NOT_APPLICABLE,FACT,publishedOrganization.ts:33,Not a human-validation workflow field.
F057,PublishedOrganization,lastReviewedAt,painel-gsds/src/schemas/startups/publishedOrganization.ts,publishedOrganizationSchema.lastReviewedAt,string date,1,required YYYY-MM-DD,ISO date,PROVENANCE,published snapshot authoring,input to derived list item lastReviewedAt,NOT_APPLICABLE,publishedOrganization.ts:34,stored,PUBLISHED,NOT_OBSERVED,DUP-REVIEW-DATE,FACT,publishedOrganization.ts:34; queryStartups.ts:67-69,human_validation NOT_OBSERVED: no reviewer/approval field on observatory org.
F058,PublishedOrganization,publicationState,painel-gsds/src/schemas/startups/publishedOrganization.ts,publishedOrganizationSchema.publicationState,enum string,1,required,published only taxonomies.ts:151-152,PUBLICATION_CONTROL,published snapshot authoring,schema reject if not published,NOT_APPLICABLE,publishedOrganization.ts:35; publishedSnapshot.ts:83-89,only published values allowed,PUBLISHED,NOT_OBSERVED,NOT_APPLICABLE,FACT,publishedOrganization.ts:35; taxonomies.ts:151-152,Not a draft/review workflow.
F060,PublishedGSDRelevanceAssessment,id,painel-gsds/src/schemas/startups/publishedRelations.ts,publishedGSDRelevanceAssessmentSchema.id,string,1,required,regex ^rel-[a-z0-9-]+$,IDENTIFIER,published snapshot authoring,React list key in detail,NOT_APPLICABLE,publishedRelations.ts:37 unique ts:114-121,indirect ids copied 5C to 5D per inspected test,PUBLISHED,NOT_OBSERVED,NOT_APPLICABLE,FACT,publishedRelations.ts:37,NOT_APPLICABLE
F061,PublishedGSDRelevanceAssessment,organizationId,painel-gsds/src/schemas/startups/publishedRelations.ts,publishedGSDRelevanceAssessmentSchema.organizationId,string,1,required FK,regex ^org-[a-z0-9-]+$,IDENTIFIER,published snapshot authoring,join in buildStartupList,NOT_APPLICABLE,publishedRelations.ts:38; publishedSnapshot.ts:124-130,stored,PUBLISHED,NOT_OBSERVED,NOT_APPLICABLE,FACT,publishedRelations.ts:38; queryStartups.ts:45-46,NOT_APPLICABLE
F062,PublishedGSDRelevanceAssessment,relationship,painel-gsds/src/schemas/startups/publishedRelations.ts,publishedGSDRelevanceAssessmentSchema.relationship,enum string,1,required,startupRelationValues taxonomies.ts:6-11,TAXONOMY|ASSESSMENT_OR_INTERPRETATION,published snapshot authoring,VIZ01; filters; badges via Set,VIZ01 Set per org aggregateObservatoryCharts.ts:56-75,publishedRelations.ts:39,stored,PUBLISHED,NOT_OBSERVED,DUP-COUNT-ADJ,FACT,publishedRelations.ts:39; taxonomies.ts:6-11,No excluded value unlike docs/implementation/03_Modelo.
F063,PublishedGSDRelevanceAssessment,geographicScopes,painel-gsds/src/schemas/startups/publishedRelations.ts,publishedGSDRelevanceAssessmentSchema.geographicScopes,enum string[],1..*,required min 1,startupGeographyValues brazil|global,TAXONOMY|ASSESSMENT_OR_INTERPRETATION,published snapshot authoring,VIZ02; filters,VIZ02 Set per org,publishedRelations.ts:40,stored,PUBLISHED,NOT_OBSERVED,DUP-COUNT-GEO,FACT,publishedRelations.ts:40; taxonomies.ts:22,Observed all 121 length 1. Saventic uses two assessments not two scopes on one assessment.
F064,PublishedGSDRelevanceAssessment,modalities,painel-gsds/src/schemas/startups/publishedRelations.ts,publishedGSDRelevanceAssessmentSchema.modalities,string[],0..*,required array,free text items; not enum,EDITORIAL|CLAIM_OR_ASSERTION,published snapshot authoring,search haystack via products not this array; detail does not list modalities[] separately from directContext.modality,NOT_APPLICABLE,publishedRelations.ts:41,stored,PUBLISHED,NOT_OBSERVED,DUP-MODALITY,FACT,publishedRelations.ts:41; rel-gsd-dir-014 json:4633,Do not merge with directContext.modality.
F065,PublishedGSDRelevanceAssessment,gsdRefs,painel-gsds/src/schemas/startups/publishedRelations.ts,publishedGSDRelevanceAssessmentSchema.gsdRefs,string[],0..*,required array may be empty,unconstrained strings; clinical gsd-* ids exist elsewhere without FK,IDENTIFIER,published snapshot authoring as empty,queryStartups filter not wired in UI,NOT_APPLICABLE,publishedRelations.ts:42 no FK,stored empty,PUBLISHED,NOT_OBSERVED,NOT_APPLICABLE,FACT,publishedRelations.ts:42; json:4394 empty; src/data/clinical/gsd-types.json:3,121/121 empty. Target entity unresolved. Not RAW_DATA.
