COPY_ID,route,rendered_on_routes,page_section,component_or_file,source_location,runtime_or_source,visibility_or_state,current_text,type,claim_count,claim_ids,source_or_evidence,status,problem,proposed_action,duplicate_group,human_validation,notes
COPY-GLOBAL-BREADCRUMB-001,GLOBAL,/analises/bases-clinicas/ | /analises/impacto-socioeconomico/ | /inovacao/startups/,breadcrumbs,painel-gsds/src/components/research/Breadcrumbs.astro,nav aria-label,both,default,Trilha de navegação,UI,0,NONE,N/A_NOT_FACTUAL,supported,NONE,keep,NONE,NONE,NONE
COPY-GLOBAL-SECTIONNAV-001,GLOBAL,/analises/bases-clinicas/ | /analises/impacto-socioeconomico/,in-page-nav,painel-gsds/src/components/research/ResearchSectionNav.astro,heading default,both,default,Nesta página,UI,0,NONE,N/A_NOT_FACTUAL,supported,NONE,keep,NONE,NONE,NONE
COPY-GLOBAL-SECTIONNAV-002,GLOBAL,/analises/bases-clinicas/ | /analises/impacto-socioeconomico/,in-page-nav,painel-gsds/src/pages/analises/bases-clinicas/index.astro,section aria-label wrapping ResearchSectionNav (também na página socioeconômica),both,default,Sumário da página,UI,0,NONE,N/A_NOT_FACTUAL,supported,NONE,keep,NONE,NONE,NONE
COPY-GLOBAL-RESEARCHMETA-001,GLOBAL,/analises/bases-clinicas/ | /analises/impacto-socioeconomico/ | /inovacao/startups/,header,painel-gsds/src/components/research/ResearchHeader.astro,meta labels,both,default,Última revisão: | {updatedAt} | · Corte das fontes: | {cutoff} | 2026-08-12 | 2026-08-10 | 2026-08-24,metodologia,1,COPY-GLOBAL-RESEARCHMETA-001.C01,EV-CODE-002,needs_review,"No Observatório, cutoff é igual a publishedAt do snapshot, não ao corte das SoTs clínicas (2026-08-10).",revise,NONE,required,Clínica e socioeconômico: revisão 2026-08-12 e corte 2026-08-10. Observatório: ambos 2026-08-24 (publishedAt do snapshot). Datas isoladas no HTML vêm dos <time>.
COPY-GLOBAL-EVIDENCEFOOTER-001,GLOBAL,/analises/bases-clinicas/ | /analises/impacto-socioeconomico/,limitacoes-e-fontes,painel-gsds/src/components/research/EvidenceFooter.astro,h2,both,default,Limitações e fontes desta página,metodologia,0,NONE,N/A_NOT_FACTUAL,supported,NONE,keep,NONE,NONE,NONE
COPY-GLOBAL-EVIDENCEFOOTER-002,GLOBAL,/analises/bases-clinicas/ | /analises/impacto-socioeconomico/,limitacoes-e-fontes,painel-gsds/src/components/research/EvidenceFooter.astro,h3,both,default,Fontes,UI,0,NONE,N/A_NOT_FACTUAL,supported,NONE,keep,NONE,NONE,NONE
COPY-GLOBAL-EVIDENCEFOOTER-003,GLOBAL,NONE,limitacoes-e-fontes,painel-gsds/src/components/research/EvidenceFooter.astro,showMedicalNotice default false,source,not rendered on in-scope pages (prop unused),Conteúdo informativo. Não substitui avaliação médica individual.,notice,1,COPY-GLOBAL-EVIDENCEFOOTER-003.C01,EV-SOT-MED-001,supported,NONE,keep,DUP-MEDICAL-NOTICE,NONE,NONE
COPY-GLOBAL-KEYMETRIC-001,GLOBAL,/,metricas,painel-gsds/src/components/executive/KeyMetric.astro,meta Período / Universo / Limitação essencial,both,default,Período: {period} | Universo: {geography} | Limitação essencial:,metodologia,1,COPY-GLOBAL-KEYMETRIC-001.C01,EV-CODE-004 | EV-METRIC-JSON,supported,NONE,keep,NONE,NONE,O rótulo Limitação essencial: é um span próprio; o texto da limitação pertence às unidades COPY-HOME-METRICS-003–006.
COPY-GLOBAL-KEYMETRIC-002,GLOBAL,NONE,metricas,painel-gsds/src/components/executive/KeyMetric.astro,absent value aria-label,source,not-calculable or value null — not used by current Home metrics,Valor não calculável,UI,0,NONE,N/A_NOT_FACTUAL,supported,NONE,keep,NONE,NONE,NONE
COPY-GLOBAL-SOURCEANCHOR-001,GLOBAL,/,metricas,painel-gsds/src/components/evidence/SourceAnchor.astro,dt labels,both,default,Fonte | Tipo | Localizador | Verificado em | Acesso,UI,0,NONE,N/A_NOT_FACTUAL,supported,NONE,keep,NONE,NONE,NONE
COPY-GLOBAL-PORTAL-001,GLOBAL,NONE,portals,painel-gsds/src/components/executive/SectionPortal.astro,unavailableLabel default,source,available=false — unused on current Home portals,Em desenvolvimento,UI,0,NONE,N/A_NOT_FACTUAL,supported,NONE,keep,NONE,NONE,NONE
COPY-GLOBAL-EVIDENCEBADGE-001,GLOBAL,NONE,evidence,painel-gsds/src/lib/evidence/states.ts,EVIDENCE_LABELS + EVIDENCE_DESCRIPTIONS,source,HomeMetrics showEvidenceBadge=false; HomeMethodology showEvidenceStates=false,Observado | Estimado | Proxy | Conceitual | Não calculável | Evidência limitada,metodologia,0,NONE,N/A_NOT_FACTUAL,supported,NONE,keep,NONE,NONE,Labels e descrições existem no código de produção mas não são renderizados nas 4 rotas no estado atual.
COPY-HOME-SEO-001,/,/,seo,painel-gsds/src/pages/index.astro,BaseLayout title,both,default,Painel GSDs — visão executiva,SEO,0,NONE,N/A_NOT_FACTUAL,supported,NONE,keep,NONE,NONE,NONE
COPY-HOME-SEO-002,/,/,seo,painel-gsds/src/pages/index.astro,BaseLayout description / og:description,both,default,"Home executiva do Painel Global de Inovação em Glicogenoses: família heterogênea de doenças, carga socioeconômica, mercado observado e limites dos dados brasileiros.",SEO,1,COPY-HOME-SEO-002.C01,EV-SOT-MED-001 | EV-SOT-SOC-001,supported,NONE,keep,NONE,NONE,stylistic_only: a omissão de caveat do Observatório não enfraquece as afirmações clínicas/socioeconômicas que a meta realmente contém. Falso positivo F5.
COPY-HOME-HERO-001,/,/,inicio,painel-gsds/src/pages/index.astro,home-hero__context,both,default,Visão executiva,editorial,0,NONE,N/A_NOT_FACTUAL,supported,NONE,keep,NONE,NONE,NONE
COPY-HOME-HERO-002,/,/,inicio,painel-gsds/src/pages/index.astro,h1#home-hero-title,both,default,"Glicogenoses: uma família de doenças, múltiplas jornadas.",factual,1,COPY-HOME-HERO-002.C01,EV-SOT-MED-001 | EV-CLAIM-CLM-CLINICAL-001,supported,NONE,keep,NONE,NONE,NONE
COPY-HOME-HERO-003,/,/,inicio,painel-gsds/src/pages/index.astro,home-hero__subtitle,both,default,"O painel reúne contexto clínico, impacto socioeconômico e organizações relacionadas às GSDs.",factual,1,COPY-HOME-HERO-003.C01,EV-CODE-003,supported,NONE,keep,NONE,NONE,NONE
COPY-HOME-HERO-004,/,/,inicio,painel-gsds/src/pages/index.astro,CTA primary,both,default,Entender o problema,UI,0,NONE,N/A_NOT_FACTUAL,supported,NONE,keep,NONE,NONE,NONE
COPY-HOME-HERO-005,/,/,inicio,painel-gsds/src/pages/index.astro,CTA secondary,both,default,Ver como os dados foram tratados,UI,0,NONE,N/A_NOT_FACTUAL,supported,NONE,keep,NONE,NONE,NONE
COPY-HOME-PROBLEM-001,/,/,problema,painel-gsds/src/components/home/ProblemInOneMinute.astro,kicker + heading default,both,default,Síntese | O problema em um minuto,editorial,0,NONE,N/A_NOT_FACTUAL,supported,NONE,keep,NONE,NONE,NONE
COPY-HOME-PROBLEM-002,/,/,problema,painel-gsds/src/pages/index.astro,points[0],both,default,"GSD não é um diagnóstico único | Mais de 20 tipos e subtipos são reconhecidos; o tipo molecular orienta manifestação, prognóstico e manejo.",factual,3,COPY-HOME-PROBLEM-002.C01 | COPY-HOME-PROBLEM-002.C02 | COPY-HOME-PROBLEM-002.C03,EV-SOT-MED-001 | EV-CLAIM-CLM-CLINICAL-001,supported,NONE,keep,NONE,NONE,NONE
COPY-HOME-PROBLEM-003,/,/,problema,painel-gsds/src/pages/index.astro,points[1],both,default,"Tecido e metabolismo mudam a jornada | Formas hepáticas, musculares e multissistêmicas geram necessidades clínicas distintas ao longo da vida.",factual,1,COPY-HOME-PROBLEM-003.C01,EV-SOT-MED-001 | EV-CLAIM-CLM-CLINICAL-002,supported,NONE,keep,NONE,NONE,NONE
COPY-HOME-PROBLEM-004,/,/,problema,painel-gsds/src/pages/index.astro,points[2],both,default,"A carga ultrapassa o sintoma | Manejo diário, cuidado informal e barreiras de acesso fazem parte do problema — e são mensurados de forma desigual.",factual,1,COPY-HOME-PROBLEM-004.C01,EV-SOT-SOC-001 | EV-CLAIM-CLM-SOCIO-001,supported,NONE,keep,NONE,NONE,NONE
COPY-HOME-PROBLEM-005,/,/,problema,painel-gsds/src/components/home/ProblemInOneMinute.astro,"problem-rail__index padStart(2,0)",both,default,01 | 02 | 03,UI,0,NONE,N/A_NOT_FACTUAL,supported,NONE,keep,NONE,NONE,Índices visuais aria-hidden dos três pontos da síntese.
COPY-HOME-MECH-001,/,/,mecanismo,painel-gsds/src/components/home/MechanismToLife.astro,kicker + heading default,both,default,Ponte conceitual | Do mecanismo à vida cotidiana,editorial,0,NONE,N/A_NOT_FACTUAL,supported,NONE,keep,NONE,NONE,NONE
COPY-HOME-MECH-002,/,/,mecanismo,painel-gsds/src/pages/index.astro,MechanismToLife caveat,both,default,Ponte conceitual para leitura executiva. Os padrões variam entre tipos e pacientes; não substitui fluxograma clínico causal.,caveat,1,COPY-HOME-MECH-002.C01,EV-SOT-MED-001,supported,NONE,keep,NONE,NONE,NONE
COPY-HOME-MECH-003,/,/,mecanismo,painel-gsds/src/pages/index.astro,MechanismToLife steps[0],both,default,Defeito metabólico | Enzima ou transportador do metabolismo do glicogênio comprometido.,factual,1,COPY-HOME-MECH-003.C01,EV-SOT-MED-001 | EV-CLAIM-CLM-CLINICAL-002 | EV-CLAIM-CLM-CLINICAL-003,supported,NONE,keep,NONE,NONE,NONE
COPY-HOME-MECH-004,/,/,mecanismo,painel-gsds/src/pages/index.astro,MechanismToLife steps[1],both,default,"Órgãos e funções | Fígado, músculo, coração, respiração ou múltiplos sistemas conforme o tipo.",factual,1,COPY-HOME-MECH-004.C01,EV-SOT-MED-001 | EV-CLAIM-CLM-CLINICAL-002 | EV-CLAIM-CLM-CLINICAL-003,supported,NONE,keep,NONE,NONE,NONE
COPY-HOME-MECH-005,/,/,mecanismo,painel-gsds/src/pages/index.astro,MechanismToLife steps[2],both,default,"Manejo cotidiano | Dieta, monitoramento, reabilitação, infusões ou vigilância de complicações.",factual,1,COPY-HOME-MECH-005.C01,EV-SOT-MED-001 | EV-CLAIM-CLM-CLINICAL-002 | EV-CLAIM-CLM-CLINICAL-003,supported,NONE,keep,NONE,NONE,NONE
COPY-HOME-MECH-006,/,/,mecanismo,painel-gsds/src/pages/index.astro,MechanismToLife steps[3],both,default,"Paciente, rede e sistema | Carga familiar, atraso diagnóstico, utilização hospitalar e acesso desigual.",factual,1,COPY-HOME-MECH-006.C01,EV-SOT-MED-001 | EV-CLAIM-CLM-CLINICAL-002 | EV-CLAIM-CLM-CLINICAL-003,supported,NONE,keep,NONE,NONE,NONE
COPY-HOME-METRICS-001,/,/,metricas,painel-gsds/src/components/home/HomeMetrics.astro,kicker + heading default,both,default,Evidência essencial | Números que enquadram o problema,editorial,0,NONE,N/A_NOT_FACTUAL,supported,NONE,keep,NONE,NONE,NONE
COPY-HOME-METRICS-002,/,/,metricas,painel-gsds/src/pages/index.astro,HomeMetrics framing,both,default,"Estes números representam dimensões distintas — diversidade clínica, receita observada, utilização hospitalar e atraso diagnóstico em um subtipo. Não podem ser somados nem lidos como estimativa única de escala.",metodologia,1,COPY-HOME-METRICS-002.C01,EV-SOT-MED-001 | EV-SOT-SOC-001 | EV-CODE-004,supported,NONE,keep,NONE,NONE,NONE
COPY-HOME-METRICS-003,/,/,metricas,painel-gsds/src/data/metrics.json,met-clinical-001 + clm-clinical-001,both,default,Diversidade clínica reconhecida | mais de 20 | tipos e subtipos | GSD não é um diagnóstico único: há mais de 20 tipos e subtipos reconhecidos. | Período: síntese médica (corte 2026-08-10) | Universo: global | Limitação essencial: | Não é um inventário fechado; a nomenclatura histórica permanece heterogênea. | Fonte | Projeto Painel GSDs (2026) | Tipo | project-report | Localizador | Visão geral | Verificado em | 2026-08-10 | Acesso | Glicogenose: Resumo Médico Executivo,factual,1,COPY-HOME-METRICS-003.C01,EV-CLAIM-CLM-CLINICAL-001 | EV-METRIC-MET-CLINICAL-001,supported,NONE,keep,NONE,NONE,"Separador documentado: "" | "" na ordem de leitura do card KeyMetric. period via sanitizeHomeCopy (SoT médica → síntese médica)."
COPY-HOME-METRICS-004,/,/,metricas,painel-gsds/src/data/metrics.json,met-market-001 + clm-market-001,both,default,"Receita farmacêutica observada (Pompe) | ≈ €1,4 bilhão | Receita observada em Pompe (≈ €1,4 bi em 2024) não é necessidade total nem TAM. | Período: 2024 | Universo: global | Limitação essencial: | Trata-se de mercado/receita observada, não de TAM, SAM ou SOM. | Fonte | Projeto Painel GSDs (2026) | Tipo | project-report | Localizador | 1.2 O mercado farmacêutico realizado está concentrado em Pompe | Verificado em | 2026-08-10 | Acesso | Glicogenose: Estudo Socioeconômico Mercadológico",factual,1,COPY-HOME-METRICS-004.C01,EV-CLAIM-CLM-MARKET-001 | EV-METRIC-MET-MARKET-001,supported,NONE,keep,NONE,NONE,"displayValue de mercado forçado para ≈ €1,4 bilhão (unit omitida). Separador "" | ""."
COPY-HOME-METRICS-005,/,/,metricas,painel-gsds/src/data/metrics.json,met-datasus-001 + clm-brasil-001,both,default,"AIHs com diagnóstico principal E74.0 | 997 | AIHs | Brasil: sem denominador nacional confiável; 997 AIHs E74.0 são proxy hospitalar, não pacientes. | Período: janeiro de 2020 a maio de 2026 | Universo: Brasil | Limitação essencial: | AIHs não equivalem a pacientes, indivíduos ou internações únicas deduplicadas. | Fonte | Projeto Painel GSDs (2026) | Tipo | project-report | Localizador | Brasil / SIH/SUS — 997 AIHs E74.0 | Verificado em | 2026-08-10 | Acesso | Glicogenose: Estudo Socioeconômico Mercadológico",factual,1,COPY-HOME-METRICS-005.C01,EV-CLAIM-CLM-BRASIL-001 | EV-METRIC-MET-DATASUS-001,supported,NONE,keep,NONE,NONE,"Separador "" | "". HomeMetrics não aplica publicSocioText às limitações da métrica."
COPY-HOME-METRICS-006,/,/,metricas,painel-gsds/src/data/metrics.json,met-mcardle-001 + clm-socio-002,both,default,Atraso diagnóstico mediano (McArdle) | 29 | anos (mediana) | McArdle: atraso diagnóstico mediano de 29 anos no estudo documentado. | Período: estudo documentado na síntese socioeconômica | Universo: estudo específico | Limitação essencial: | Evidência específica de McArdle — não é mediana universal das GSDs. | Fonte | Projeto Painel GSDs (2026) | Tipo | project-report | Localizador | 1.1 / McArdle — atraso mediano de 29 anos | Verificado em | 2026-08-10 | Acesso | Glicogenose: Estudo Socioeconômico Mercadológico,factual,1,COPY-HOME-METRICS-006.C01,EV-CLAIM-CLM-SOCIO-002 | EV-METRIC-MET-MCARDLE-001,supported,NONE,keep,NONE,NONE,period e locator via sanitizeHomeCopy: SoT socioeconômica → síntese socioeconômica; [CAR-010 a CAR-013] removido.
COPY-HOME-NEED-001,/,/,mercado-necessidade,painel-gsds/src/components/home/ObservedVsNeed.astro,kicker + heading default,both,default,Enquadramento | Mercado observado não é necessidade total,metodologia,1,COPY-HOME-NEED-001.C01,EV-SOT-SOC-001 | EV-CLAIM-CLM-MARKET-001,supported,NONE,keep,NONE,NONE,NONE
COPY-HOME-NEED-002,/,/,mercado-necessidade,painel-gsds/src/pages/index.astro,ObservedVsNeed insight,both,default,"O mercado farmacêutico observado concentra-se em Pompe. População potencial, elegibilidade e necessidade total não são equivalentes a receita realizada.",factual,1,COPY-HOME-NEED-002.C01,EV-SOT-SOC-001 | EV-CLAIM-CLM-MARKET-001,supported,NONE,keep,NONE,NONE,NONE
COPY-HOME-NEED-003,/,/,mercado-necessidade,painel-gsds/src/components/home/ObservedVsNeed.astro,badge-conceptual,both,default,Conceitual | Sem áreas proporcionais nem funil monetário falso.,metodologia,1,COPY-HOME-NEED-003.C01,EV-CODE-003 | EV-SOT-SOC-001,supported,NONE,keep,NONE,NONE,NONE
COPY-HOME-NEED-004,/,/,mercado-necessidade,painel-gsds/src/pages/index.astro,ObservedVsNeed layers,both,default,População potencial | Teto epidemiológico ou genético possível; inclui incerteza de penetrância e não equivale a demanda atendível. | População potencial: | Teto epidemiológico ou genético possível; inclui incerteza de penetrância e não equivale a demanda atendível.,metodologia,1,COPY-HOME-NEED-004.C01,EV-SOT-SOC-001 | EV-CLAIM-CLM-SOCIO-004,supported,NONE,keep,DUP-HOME-NEED-ALT,NONE,NONE
COPY-HOME-NEED-005,/,/,mercado-necessidade,painel-gsds/src/pages/index.astro,ObservedVsNeed layers,both,default,"Diagnosticada / elegível / alcançável | Camada intermediária que exige confirmação, critérios clínicos e capacidade de acesso — ainda incompleta para a maioria das GSDs. | Diagnosticada / elegível / alcançável: | Camada intermediária que exige confirmação, critérios clínicos e capacidade de acesso — ainda incompleta para a maioria das GSDs.",metodologia,1,COPY-HOME-NEED-005.C01,EV-SOT-SOC-001 | EV-CLAIM-CLM-SOCIO-004,supported,NONE,keep,DUP-HOME-NEED-ALT,NONE,NONE
COPY-HOME-NEED-006,/,/,mercado-necessidade,painel-gsds/src/pages/index.astro,ObservedVsNeed layers,both,default,"Cuidado ou mercado observado | O que é publicamente mensurável hoje, como receita farmacêutica em Pompe ou AIHs hospitalares no Brasil. | Cuidado ou mercado observado: | O que é publicamente mensurável hoje, como receita farmacêutica em Pompe ou AIHs hospitalares no Brasil.",metodologia,1,COPY-HOME-NEED-006.C01,EV-SOT-SOC-001 | EV-CLAIM-CLM-SOCIO-004,supported,NONE,keep,DUP-HOME-NEED-ALT,NONE,NONE
COPY-HOME-NEED-007,/,/,mercado-necessidade,painel-gsds/src/pages/index.astro,ObservedVsNeed layers,both,default,"Dimensões não mensuradas | Diagnóstico, nutrição, monitoramento, reabilitação e suporte permanecem necessidades centrais sem mercado estruturado comparável. | Dimensões não mensuradas: | Diagnóstico, nutrição, monitoramento, reabilitação e suporte permanecem necessidades centrais sem mercado estruturado comparável.",metodologia,1,COPY-HOME-NEED-007.C01,EV-SOT-SOC-001 | EV-CLAIM-CLM-SOCIO-004,supported,NONE,keep,DUP-HOME-NEED-ALT,NONE,NONE
COPY-HOME-NEED-008,/,/,mercado-necessidade,painel-gsds/src/components/home/ObservedVsNeed.astro,aside aria-label + h3,both,default,Alternativa textual da visualização | Alternativa textual,UI,0,NONE,N/A_NOT_FACTUAL,supported,NONE,keep,NONE,NONE,Camadas são repetidas de propósito para alternativa textual; duplicate_group DUP-HOME-NEED-ALT.
COPY-HOME-NEED-009,/,/,mercado-necessidade,painel-gsds/src/pages/index.astro,observedNote template,both,default,"Receita observada de ≈ €1,4 bilhão em 2024 — não é TAM/SAM/SOM.",factual,1,COPY-HOME-NEED-009.C01,EV-SOT-SOC-001 | EV-CLAIM-CLM-MARKET-001,supported,NONE,keep,DUP-REV-NOT-TAM,NONE,marketPeriodDisplay runtime = 2024.
COPY-HOME-BR-001,/,/,brasil,painel-gsds/src/components/home/BrazilOverview.astro,kicker + heading default,both,default,Recorte nacional | Brasil: o que os dados mostram e omitem,editorial,0,NONE,N/A_NOT_FACTUAL,supported,NONE,keep,NONE,NONE,NONE
COPY-HOME-BR-002,/,/,brasil,painel-gsds/src/pages/index.astro,BrazilOverview summary[],both,default,Não há denominador nacional confiável de prevalência para as glicogenoses.,factual,1,COPY-HOME-BR-002.C01,EV-SOT-SOC-001 | EV-CLAIM-CLM-BRASIL-001,supported,NONE,keep,NONE,NONE,NONE
COPY-HOME-BR-003,/,/,brasil,painel-gsds/src/pages/index.astro,BrazilOverview summary[],both,default,Acesso e capacidade assistencial permanecem fragmentados entre territórios e tipos.,factual,1,COPY-HOME-BR-003.C01,EV-SOT-SOC-001 | EV-CLAIM-CLM-BRASIL-001,supported,NONE,keep,NONE,NONE,NONE
COPY-HOME-BR-004,/,/,brasil,painel-gsds/src/pages/index.astro,BrazilOverview summary[],both,default,"O SIH/SUS oferece observação hospitalar limitada (AIHs E74.0), não um censo de pacientes.",factual,1,COPY-HOME-BR-004.C01,EV-SOT-SOC-001 | EV-CLAIM-CLM-BRASIL-001,supported,NONE,keep,DUP-AIH-NOT-PATIENT,NONE,NONE
COPY-HOME-BR-005,/,/,brasil,painel-gsds/src/pages/index.astro,BrazilOverview summary[],both,default,Existe capacidade clínica e científica no país; isso não autoriza inferir cobertura nacional.,factual,1,COPY-HOME-BR-005.C01,EV-SOT-SOC-001 | EV-CLAIM-CLM-BRASIL-001,supported,NONE,keep,NONE,NONE,NONE
COPY-HOME-BR-006,/,/,brasil,painel-gsds/src/components/home/BrazilOverview.astro,h3 brasil-ref-title,both,default,"Referência à métrica DATASUS (mesmo registro) | 997 | AIHs· janeiro de 2020 a maio de 2026 | Brasil: sem denominador nacional confiável; 997 AIHs E74.0 são proxy hospitalar, não pacientes.",metodologia,3,COPY-HOME-BR-006.C01 | COPY-HOME-BR-006.C02 | COPY-HOME-BR-006.C03,EV-SOT-SOC-001 | EV-CLAIM-CLM-BRASIL-001 | EV-METRIC-MET-DATASUS-001,supported,NONE,keep,NONE,NONE,"period bruto de metrics.json (sem sanitizeHomeCopy). O nó de texto após o strong junta unit, ponto médio e período."
COPY-HOME-ANALISES-001,/,/,analises,painel-gsds/src/pages/index.astro,section-kicker + h2,both,default,Análises | Explore as análises,editorial,0,NONE,N/A_NOT_FACTUAL,supported,NONE,keep,NONE,NONE,NONE
